,Year,Athlete,Country,Time,Marathon
53,2018,Desi Linden,United States,02:39:54,Boston
52,2017,Edna Kiplagat,Kenya,02:21:52,Boston
51,2016,Atsede Baysa,Ethiopia,02:29:19,Boston
50,2015,Caroline Rotich,Kenya,02:24:55,Boston
49,2014,Buzunesh Deba,Ethiopia,02:19:59,Boston
48,2014,Rita Jeptoo,Kenya,02:18:57,Boston
47,2013,Rita Jeptoo,Kenya,02:26:25,Boston
46,2012,Sharon Cherop,Kenya,02:31:50,Boston
45,2011,Caroline Kilel,Kenya,02:22:36,Boston
44,2010,Teyba Erkesso,Ethiopia,02:26:11,Boston
43,2009,Salina Kosgei,Kenya,02:32:16,Boston
42,2008,Dire Tune,Ethiopia,02:25:25,Boston
41,2007,Lidiya Grigoryeva,Russia,02:29:18,Boston
40,2006,Rita Jeptoo,Kenya,02:23:38,Boston
39,2005,Catherine Ndereba,Kenya,02:25:12,Boston
38,2004,Catherine Ndereba,Kenya,02:24:27,Boston
37,2003,Svetlana Zakharova,Russia,02:25:19,Boston
36,2002,Margaret Okayo,Kenya,02:20:43,Boston
35,2001,Catherine Ndereba,Kenya,02:23:53,Boston
34,2000,Catherine Ndereba,Kenya,02:26:11,Boston
33,1999,Fatuma Roba,Ethiopia,02:23:25,Boston
32,1998,Fatuma Roba,Ethiopia,02:23:21,Boston
31,1997,Fatuma Roba,Ethiopia,02:26:23,Boston
30,1996,Uta Pippig,Germany,02:27:12,Boston
29,1995,Uta Pippig,Germany,02:25:11,Boston
28,1994,Uta Pippig,Germany,02:21:45,Boston
27,1993,Olga Markova,Russia,02:25:27,Boston
26,1992,Olga Markova,Russia,02:23:43,Boston
25,1991,Wanda Panfil,Poland,02:24:18,Boston
24,1990,Rosa Mota,Portugal,02:25:24,Boston
23,1989,Ingrid Kristiansen,Norway,02:24:33,Boston
22,1988,Rosa Mota,Portugal,02:24:30,Boston
21,1987,Rosa Mota,Portugal,02:25:21,Boston
20,1986,Ingrid Kristiansen,Norway,02:24:55,Boston
19,1985,Larsen Weidenbach,United States,02:34:06,Boston
18,1984,Lorraine Moller,Zealand New,02:29:28,Boston
17,1983,Joan Benoit,United States,02:22:43,Boston
16,1982,Charlotte Teske,Germany West,02:29:33,Boston
15,1981,Allison Roe,Zealand New,02:26:46,Boston
14,1980,Jacqueline Gareau,Canada,02:34:28,Boston
13,1979,Joan Benoit,United States,02:35:15,Boston
12,1978,Gayle Barron,United States,02:44:52,Boston
11,1977,Miki Gorman,United States,02:48:33,Boston
10,1976,Kim Merritt,United States,02:47:10,Boston
9,1975,Liane Winter,Germany West,02:42:24,Boston
8,1974,Miki Gorman,United States,02:47:11,Boston
7,1973,Jacqueline Hansen,United States,03:05:59,Boston
6,1972,Nina Kuscsik,United States,03:10:26,Boston
5,1971,Mae Berman,United States,03:08:30,Boston
4,1970,Mae Berman,United States,03:05:07,Boston
3,1969,Mae Berman,United States,03:22:46,Boston
2,1968,Bobbi Gibb,United States,03:30:00,Boston
1,1967,Bobbi Gibb,United States,03:27:17,Boston
0,1966,Bobbi Gibb,United States,03:21:40,Boston
44,2017,Shalane Flanagan,United States,02:26:53,New York
43,2016,Mary Keitany,Kenya,02:24:26,New York
42,2015,Mary Keitany,Kenya,02:24:25,New York
41,2014,Mary Keitany,Kenya,02:25:07,New York
40,2013,Priscah Jeptoo,Kenya,02:25:07,New York
39,2011,Firehiwot Dado,Ethiopia,02:23:15,New York
38,2010,Edna Kiplagat,Kenya,02:28:20,New York
37,2009,Derartu Tulu,Ethiopia,02:28:52,New York
36,2008,Paula Radcliffe,United Kingdom,02:23:56,New York
35,2007,Paula Radcliffe,United Kingdom,02:23:09,New York
34,2006,Je?ena Prokop?uka,Latvia,02:25:05,New York
33,2005,Je?ena Prokop?uka,Latvia,02:24:41,New York
32,2004,Paula Radcliffe,United Kingdom,02:23:10,New York
31,2003,Margaret Okayo,Kenya,02:22:31,New York
30,2002,Joyce Chepchumba,Kenya,02:25:56,New York
29,2001,Margaret Okayo,Kenya,02:24:21,New York
28,2000,Lyudmila Petrova,Russia,02:25:45,New York
27,1999,Adriana Fernandez,Mexico,02:25:06,New York
26,1998,Franca Fiacconi,Italy,02:25:17,New York
25,1997,Franziska Rochat-Moser,Switzerland,02:28:43,New York
24,1996,Anu?a C?tun?,Romania,02:28:18,New York
23,1995,Tegla Loroupe,Kenya,02:28:06,New York
22,1994,Tegla Loroupe,Kenya,02:27:37,New York
21,1993,Uta Pippig,Germany,02:26:24,New York
20,1992,Lisa Ondieki,Australia,02:24:40,New York
19,1991,Liz McColgan,United Kingdom,02:27:32,New York
18,1990,Wanda Panfil,Poland,02:30:45,New York
17,1989,Ingrid Kristiansen,Norway,02:25:30,New York
16,1988,Grete Waitz,Norway,02:28:07,New York
15,1987,Priscilla Welch,United Kingdom,02:30:17,New York
14,1986,Grete Waitz,Norway,02:28:06,New York
13,1985,Grete Waitz,Norway,02:28:34,New York
12,1984,Grete Waitz,Norway,02:29:30,New York
11,1983,Grete Waitz,Norway,02:27:00,New York
10,1982,Grete Waitz,Norway,02:27:14,New York
9,1981,Allison Roe,New Zealand,02:25:29,New York
8,1980,Grete Waitz,Norway,02:25:42,New York
7,1979,Grete Waitz,Norway,02:27:33,New York
6,1978,Grete Waitz,Norway,02:32:30,New York
5,1977,Miki Gorman,United States,02:43:10,New York
4,1976,Miki Gorman,United States,02:39:11,New York
3,1975,Kim Merritt,United States,02:46:14,New York
2,1974,Kathrine Switzer,United States,03:07:29,New York
1,1973,Nina Kuscsik,United States,02:57:07,New York
0,1972,Nina Kuscsik,United States,03:08:41,New York
40,2018,Brigid Kosgei,Kenya,02:05:11,Chicago
39,2017,Tirunesh Dibaba,Ethiopia,02:09:20,Chicago
38,2016,Florence Kiplagat,Kenya,02:11:23,Chicago
37,2015,Florence Kiplagat,Kenya,02:09:25,Chicago
36,2014,Mare Dibaba,Ethiopia,02:04:11,Chicago
35,2013,Rita Jeptoo,Kenya,02:03:45,Chicago
34,2012,Atsede Baysa,Ethiopia,02:04:38,Chicago
33,2011,Ejegayehu Dibaba,Ethiopia,02:05:37,Chicago
32,2010,Atsede Baysa,Ethiopia,02:06:23,Chicago
31,2009,Irina Mikitenko,Germany,02:05:41,Chicago
30,2008,Lidiya Grigoryeva,Russia,02:06:25,Chicago
29,2007,Berhane Adere,Ethiopia,02:11:11,Chicago
28,2006,Berhane Adere,Ethiopia,02:07:35,Chicago
27,2005,Deena Kastor,United States,02:07:02,Chicago
26,2004,Constantina Di??,Romania,02:06:16,Chicago
25,2003,Svetlana Zakharova,Russia,02:05:50,Chicago
24,2002,Paula Radcliffe,United Kingdom,02:05:56,Chicago
23,2001,Catherine Ndereba,Kenya,02:08:52,Chicago
22,2000,Catherine Ndereba,Kenya,02:07:01,Chicago
21,1999,Joyce Chepchumba,Kenya,02:05:42,Chicago
20,1998,Joyce Chepchumba,Kenya,02:06:54,Chicago
19,1997,Marian Sutton,United Kingdom,02:07:10,Chicago
18,1996,Marian Sutton,United Kingdom,02:08:52,Chicago
17,1995,Ritva Lemettinen,Finland,02:11:18,Chicago
16,1994,Kristy Johnston,United States,02:11:16,Chicago
15,1993,Ritva Lemettinen,Finland,02:13:14,Chicago
14,1992,Linda Somers,United States,02:16:14,Chicago
13,1991,Midde Hamrin,Sweden,02:14:33,Chicago
12,1990,Aurora Cunha,Portugal,02:09:41,Chicago
11,1989,Lisa Weidenbach,United States,02:11:25,Chicago
10,1988,Lisa Weidenbach,United States,02:08:57,Chicago
9,1986,Ingrid Kristiansen,Norway,02:08:27,Chicago
8,1985,Joan Benoit,United States,02:07:13,Chicago
7,1984,Rosa Mota,Portugal,02:08:05,Chicago
6,1983,Rosa Mota,Portugal,02:09:44,Chicago
5,1982,Nancy Conz,United States,02:10:59,Chicago
4,1981,Tina Gandy,United States,02:16:13,Chicago
3,1980,Sue Peterson,United States,02:14:04,Chicago
2,1979,Laura Michalek,United States,02:23:20,Chicago
1,1978,Lynae Larson,United States,02:19:20,Chicago
0,1977,Dorothy Doolittle,United States,02:17:52,Chicago
0,2018,Gladys Cherono,Kenya,02:18:11,Berlin
1,2017,Gladys Cherono,Kenya,02:20:23,Berlin
2,2016,Aberu Kebede,Ethiopia,02:20:45,Berlin
3,2015,Gladys Cherono,Kenya,02:19:25,Berlin
4,2014,Tirfi Tsegaye,Ethiopia,02:20:18,Berlin
5,2013,Florence Kiplagat,Kenya,02:21:13,Berlin
6,2012,Aberu Kebede,Ethiopia,02:20:30,Berlin
7,2011,Florence Kiplagat,Kenya,02:19:44,Berlin
8,2010,Aberu Kebede,Ethiopia,02:23:58,Berlin
9,2009,Atsede Habtamu,Ethiopia,02:24:47,Berlin
10,2008,Irina Mikitenko,Germany,02:19:19,Berlin
11,2007,Gete Wami,Ethiopia,02:23:17,Berlin
12,2006,Gete Wami,Ethiopia,02:21:34,Berlin
13,2005,Mizuki Noguchi,Japan,02:19:12,Berlin
14,2004,Yoko Shibui,Japan,02:19:41,Berlin
15,2003,Yasuko Hashimoto,Japan,02:26:32,Berlin
16,2002,Naoko Takahashi,Japan,02:21:49,Berlin
17,2001,Naoko Takahashi,Japan,02:19:46,Berlin
18,2000,Kazumi Matsuo,Japan,02:26:15,Berlin
19,1999,Tegla Loroupe,Kenya,02:20:43,Berlin
20,1998,Marleen Renders,Belgium,02:25:22,Berlin
21,1997,Catherina McKiernan,Ireland,02:23:44,Berlin
22,1996,Colleen De Reuck,South Africa,02:26:35,Berlin
23,1995,Uta Pippig,Germany,02:25:37,Berlin
24,1994,Katrin Dörre-Heinig,Germany,02:25:15,Berlin
25,1993,Renata Kokowska,Poland,02:26:20,Berlin
26,1992,Uta Pippig,Germany,02:30:22,Berlin
27,1991,Renata Kokowska,Poland,02:27:36,Berlin
28,1990,Uta Pippig,East Germany,02:28:37,Berlin
29,1989,Päivi Tikkanen,Finland,02:28:45,Berlin
30,1988,Renata Kokowska,Poland,02:29:16,Berlin
31,1987,Kerstin Preßler,West Germany,02:31:22,Berlin
32,1986,Charlotte Teske,West Germany,02:32:10,Berlin
33,1985,Magda Ilands,Belgium,02:34:10,Berlin
34,1984,Ágnes Sipka,Hungary,02:39:32,Berlin
35,1983,Karen Holdsworth,United Kingdom,02:40:32,Berlin
36,1982,Jean Lochhead,United Kingdom,02:47:05,Berlin
37,1981,Angelika Stephan,West Germany,02:47:24,Berlin
38,1980,Gerlinde Püttmann,West Germany,02:47:18,Berlin
39,1979,Jutta von Haase,West Germany,03:07:07,Berlin
40,1978,Ursula Blaschke,West Germany,02:57:09,Berlin
41,1977,Christa Vahlensieck,West Germany,02:34:48,Berlin
42,1976,Jutta von Haase,West Germany,03:05:19,Berlin
43,1975,Christin Bochröder,West Germany,02:59:15,Berlin
44,1974,Jutta von Haase,West Germany,03:22:01,Berlin
37,2018,Vivian Cheruiyot,Kenya,02:18:31,London
36,2017,Mary Keitany,Kenya,02:17:01,London
35,2016,Jemima Sumgong,Kenya,02:22:58,London
34,2015,Tigist Tufa,Ethiopia,02:23:21,London
33,2014,Edna Kiplagat,Kenya,02:20:21,London
32,2013,Priscah Jeptoo,Kenya,02:20:15,London
31,2012,Mary Keitany,Kenya,02:18:37,London
30,2011,Mary Keitany,Kenya,02:19:19,London
29,2010,Aselefech Mergia,Ethiopia,02:22:38,London
28,2009,Irina Mikitenko,Germany,02:22:11,London
27,2008,Irina Mikitenko,Germany,02:24:14,London
26,2007,Zhou Chunxiu,China,02:20:38,London
25,2006,Deena Kastor,United States,02:19:35,London
24,2005,Paula Radcliffe,United Kingdom,02:17:42,London
23,2004,Margaret Okayo,Kenya,02:22:35,London
22,2003,Paula Radcliffe,United Kingdom,02:15:25,London
21,2002,Paula Radcliffe,United Kingdom,02:18:56,London
20,2001,Derartu Tulu,Ethiopia,02:23:57,London
19,2000,Tegla Laroupe,Kenya,02:24:33,London
18,1999,Joyce Chepchumba,Kenya,02:23:22,London
17,1998,Catherina McKiernan,Ireland,02:26:26,London
16,1997,Joyce Chepchumba,Kenya,02:26:51,London
15,1996,Liz McColgan,United Kingdom,02:27:54,London
14,1995,Ma?gorzata Soba?ska,Poland,02:27:43,London
13,1994,Katrin Dörre-Heinig,Germany,02:32:34,London
12,1993,Katrin Dörre-Heinig,Germany,02:27:09,London
11,1992,Katrin Dörre-Heinig,Germany,02:29:39,London
10,1991,Rosa Mota,Portugal,02:26:14,London
9,1990,Wanda Panfil,Poland,02:26:31,London
8,1989,Véronique Marot,United Kingdom,02:25:56,London
7,1988,Ingrid Kristiansen,Norway,02:25:41,London
6,1987,Ingrid Kristiansen,Norway,02:22:48,London
5,1986,Grete Waitz,Norway,02:24:54,London
4,1985,Ingrid Kristiansen,Norway,02:21:06,London
3,1984,Ingrid Kristiansen,Norway,02:24:26,London
2,1983,Grete Waitz,Norway,02:25:29,London
1,1982,Joyce Smith,United Kingdom,02:29:43,London
0,1981,Joyce Smith,United Kingdom,02:29:57,London
0,2018,Birhane Dibaba,Ethiopia,02:19:51,Tokyo
1,2017,Sarah Chepchirchir,Kenya,02:19:47,Tokyo
2,2016,Helah Kiprop,Kenya,02:21:27,Tokyo
3,2015,Birhane Dibaba,Ethiopia,02:23:15,Tokyo
4,2014,Tirfi Tsegaye,Ethiopia,02:22:23,Tokyo
5,2013,Aberu Kebede,Ethiopia,02:25:34,Tokyo
6,2012,Atsede Habtamu,Ethiopia,02:25:28,Tokyo
7,2011,Noriko Higuchi [9],Japan,02:28:49,Tokyo
8,2010,Alevtina Biktimirova,Russia,02:34:39,Tokyo
9,2009,Mizuho Nasukawa,Japan,02:25:38,Tokyo
10,2008,Claudia Dreher,Germany,02:35:35,Tokyo
11,2007,Hitomi Niiya,Japan,02:31:02,Tokyo
